Irish,English
an,the
bí,be
ar,on
agus,and
is,is
ag,at
le,with
na,the
do,for
go,to
de,of
sé,he
sin,that
ó,from
é,it
seo,this
cuir,add
mar,as
ach,but
déan,do
faoi,about
nó,or
duine,a person
tabhair,give
féin,himself
ní,no
aon,any
as,off
chun,to
eile,another
abair,say
mé,me
tar,come
cuid,some
maith,good
faigh,get
sí,she
ná,don't
bliain,year
siad,they
téigh,go
nuair,when
iad,them
amach,out
mo,my
cé,who
nach,not
bain,remove
ceann,one
gach,each
tú,you
rud,thing
í,her
caith,throw
Gaeilge,Irish
trí,through
gan,without
féidir,possible
lá,day
chomh,so
fear,man
isteach,in
fad,length
áit,place
beag,little
am,time
chuig,to
Éire,Ireland
obair,work
céad,a hundred
amháin,only
taobh,side
anois,now
céile,spouse
mac,son
feic,see
níos,more
má,if
teach,a house
ceart,right
gur,that
idir,between
scéal,story
tír,country
saol,life
bith,be
roimh,before
féad,can
ceist,question
ansin,then
deireadh,end
bean,a woman
dóigh,like
dá,two
fios,know
uair,once
alt,article
te,warm
pobal,community
